Year,Region,HIV_prevalence,New_infection,AIDS_related_death,ART_coverage,PMTCT_coverage,HIV_expenditure_per_capita
2012,Latin_America,0.4,0.0245,0.0093,0.39,0.460714286,586.7429184
2013,Latin_America,0.4,0.0233,0.0087,0.42,0.492857143,620.1991121
2014,Latin_America,0.4,0.0235,0.0087,0.46,0.517857143,642.7226315
2015,Latin_America,0.4,0.0222,0.0082,0.52,0.551851852,666.5350131
2016,Latin_America,0.4,0.0222,0.0078,0.55,0.544444444,597.3044515
2017,Latin_America,0.4,0.0211,0.0072,0.57,0.57037037,
2018,Latin_America,0.4,0.0211,0.0074,0.62,0.611111111,
2010,Middle_East_and_North_Africa,0.1,0.01,0.004277778,0.11,0.080821918,477.4710672
2011,Middle_East_and_North_Africa,0.1,0.01,0.0045,0.13,0.090540541,522.7518359
2012,Middle_East_and_North_Africa,0.1,0.009473684,0.004421053,0.14,0.093333333,566.7802967
2013,Middle_East_and_North_Africa,0.1,0.009,0.00425,0.17,0.106578947,625.222595
2014,Middle_East_and_North_Africa,0.1,0.009047619,0.004142857,0.19,0.111688312,676.0674571
2015,Middle_East_and_North_Africa,0.1,0.008636364,0.004,0.22,0.122077922,636.5341196
2016,Middle_East_and_North_Africa,0.1,0.008636364,0.003954545,0.26,0.153846154,630.4061518
2017,Middle_East_and_North_Africa,0.1,0.00826087,0.003652174,0.29,0.166666667,
2018,Middle_East_and_North_Africa,0.1,0.008333333,0.0035,0.32,0.164556962,
2010,Western_and_central_Africa,1.7,0.1209,0.0869,0.19,0.213055556,62.23584257
2011,Western_and_central_Africa,1.7,0.1146,0.0813,0.22,0.262222222,69.52515386
2012,Western_and_central_Africa,1.7,0.1121,0.076,0.26,0.316666667,70.1822031
2013,Western_and_central_Africa,1.6,0.1021,0.0681,0.29,0.402857143,79.58429596
2014,Western_and_central_Africa,1.6,0.0967,0.0667,0.33,0.462857143,80.35605213
2015,Western_and_central_Africa,1.6,0.0933,0.0633,0.37,0.457142857,70.22509939
2016,Western_and_central_Africa,1.5,0.0857,0.0551,0.42,0.488235294,68.89482751
2017,Western_and_central_Africa,1.5,0.0857,0.052,0.47,0.470588235,
2018,Western_and_central_Africa,1.5,0.084,0.048,0.51,0.45,
2010,Western_and_central_Europe_and_North_America,0.3,0.0128,0.0032,0.57,,3240.905223
2011,Western_and_central_Europe_and_North_America,0.3,0.0127,0.0032,0.62,,3512.862313
2012,Western_and_central_Europe_and_North_America,0.3,0.012,0.0025,0.66,,3386.598963
2013,Western_and_central_Europe_and_North_America,0.3,0.0117,0.0024,0.7,,3555.185704
2014,Western_and_central_Europe_and_North_America,0.3,0.0111,0.002,0.72,,3624.894905
2015,Western_and_central_Europe_and_North_America,0.2,0.0073,0.0013,0.75,,3201.568401
2016,Western_and_central_Europe_and_North_America,0.2,0.0068,0.0012,0.77,,3249.77171
2017,Western_and_central_Europe_and_North_America,0.2,0.0066,0.0012,0.78,,
2018,Western_and_central_Europe_and_North_America,0.2,0.0062,0.0012,0.79,,
