Year,Country,Prevalence Rate,ART Rate,PMTCT Rate,Exp_per_cap Level,Coglevel,Newly Infected Rate,PMTCT Receiving Rate
2010,Honduras,0.5,30,49,3,2,0.0142,0.5
2010,Hungary,0.1,30,,,3,0.025,
2010,Iceland,0.1,67,,,3,0.02,
2010,Indonesia,0.4,4,3,1,2,0.0494,0.026315789
2010,Iran(IslamicRepublicof),0.1,,,,,0.01,0.12
2010,Ireland,0.2,60,,,3,0.0208,
2010,Israel,0.1,,,,3,0.0083,
2010,Italy,0.3,67,,,3,0.0125,
2010,Jamaica,2.1,16,95,2,,0.1362,0.78
2010,Japan,0.1,56,,,,0.0089,
2010,Jordan,0.1,50,,4,,0.05,
2010,Kazakhstan,0.1,11,95,3,3,0.0182,1.1
2010,Kenya,6,29,50,2,3,0.264,0.501204819
2010,Kuwait,0.1,38,,4,2,0.02,
2010,Kyrgyzstan,0.1,9,76,4,2,0.0268,0.5
2010,LaoPeopleDemocraticRepublic,0.3,,,,,0.0303,0.06
2010,Latvia,0.3,13,,3,,0.0375,
2010,Lebanon,0.1,27,,3,3,0.0125,
2010,Lesotho,24.1,32,68,1,3,1.6067,0.666666667
2010,Liberia,1.7,11,23,1,2,0.112,0.233333333
2010,LibyanArabJamahiriya,0.2,,,,,0.0259,0
2010,Luxembourg,0.2,57,,4,3,0.0286,
2010,Madagascar,0.2,1,3,2,1,0.02,0.03125
2010,Malawi,10.6,29,26,1,3,0.6701,0.254545455
2010,Malaysia,0.4,18,50,2,3,0.0292,0.5
2010,Mali,1.4,21,28,1,1,0.1097,0.280898876
2010,Mauritania,0.4,23,16,2,2,0.0282,0.06
2010,Mauritius,1.3,6,69,2,1,0.1158,0.6
2010,Mexico,0.2,36,,4,2,0.0122,
2010,Mongolia,0.1,6,,4,2,0.02,
2010,Montenegro,0.1,28,,,2,0.05,
2010,Morocco,0.1,18,39,3,3,0.0071,0.24
2010,Mozambique,12,14,23,1,2,1.2,0.232291667
2010,Myanmar,0.8,13,34,1,,0.0582,0.333333333
2010,Namibia,13.4,50,67,3,3,0.7804,0.641666667
2010,Nepal,0.2,16,14,2,3,0.0135,0.134615385
2010,Netherlands,0.2,64,,,3,0.01,
2010,NewZealand,0.1,,,,,0.008,
2010,Nicaragua,0.2,17,60,,,0.0147,0.45
2010,Niger,0.4,20,95,2,2,0.0162,1.166666667
2010,Nigeria,1.6,22,27,1,2,0.128,0.271428571
2010,NorthMacedonia,0.1,,,,,0.05,
2010,Norway,0.1,72,,,3,0.0119,
2010,Oman,0.1,24,,3,2,0.0091,
2010,Pakistan,0.1,3,1,1,1,0.0209,0.0125
2010,Panama,0.8,27,80,4,2,0.056,0.75
2010,PapuaNewGuinea,0.8,,,,,0.0358,0.053846154
2010,Paraguay,0.5,15,43,3,3,0.03,0.28
2010,Peru,0.3,31,41,3,,0.0162,0.408163265
2010,Philippines,0.1,9,13,2,3,0.0293,0.1
2010,Portugal,0.6,51,,4,3,0.0225,
2010,RepublicofMoldova,0.5,,,,,0.0531,0.24
2010,Romania,0.1,53,95,4,3,0.0061,1.9
2010,Rwanda,3.3,40,58,3,3,0.135,0.575
2010,Senegal,0.6,27,22,2,2,0.0286,0.218181818
2010,Serbia,0.1,52,,4,3,0.0111,
2010,SierraLeone,1.5,,,,,0.1345,
2010,Singapore,0.3,31,,4,3,0.0231,
2010,Slovakia,0.1,30,,,3,0.02,
2010,Somalia,0.3,5,0,2,,0.0115,0
2010,SouthAfrica,18.9,,,,,1.2084,0.655555556
2010,SouthSudan,2.4,,,,,0.24,0.084810127
2010,Spain,0.4,65,,4,3,0.0134,
2010,SriLanka,0.1,,,,,0.0125,
2010,Sudan,0.2,5,5,1,1,0.0247,0.052941176
2010,Suriname,1.4,25,95,,2,0.1522,0.8
2010,SyrianArabRepublic,0.1,,,,,0.0175,
2010,Tajikistan,0.2,5,12,3,2,0.0261,0.08
2010,Thailand,1.5,36,94,2,3,0.0414,0.941176471
2010,Togo,2.9,23,16,1,3,0.2088,0.157142857
2010,Tunisia,0.1,29,,,,0.0357,
2010,Uganda,6.8,20,29,,3,0.5213,0.288888889
2010,Ukraine,0.9,9,95,2,3,0.0548,1.03125
2010,UnitedRepublicofTanzania,5,,,,,0.3192,0.751948052
2010,UnitedStatesofAmerica,0.4,,,,,0.0166,
2010,Uruguay,0.5,31,95,,3,0.0422,0.6
2010,Uzbekistan,0.1,7,82,2,,0.0137,0.781818182
2010,VietNam,0.4,,,,,0.0291,0.451612903
2010,Yemen,0.1,11,20,,,0.0155,0.15
2010,Zambia,13,35,71,1,3,0.728,0.71
2010,Zimbabwe,15.4,30,29,1,3,0.7957,0.285135135
2011,Afghanistan,0.1,3,2,3,2,0.0131,0
2011,Australia,0.1,61,,,3,0.0047,
2011,Bangladesh,0.1,8,8,3,2,0.012,0.05
2011,Bhutan,0.3,7,,,2,0.0462,
2011,Cambodia,0.8,59,43,2,3,0.0192,0.44
2011,Indonesia,0.4,5,2,1,2,0.0459,0.017
2011,Japan,0.1,57,,,,0.0081,
2011,LaoPeopleDemocraticRepublic,0.3,,,,,0.0285,0.1
2011,Malaysia,0.4,19,56,2,3,0.0284,0.557692308
2011,Mongolia,0.1,9,,4,2,0.02,
2011,Myanmar,0.8,18,41,1,,0.0545,0.403508772
2011,Nepal,0.2,21,21,2,3,0.0116,0.2
2011,NewZealand,0.1,,,,,0.0074,
2011,Pakistan,0.1,3,4,1,1,0.0179,0.038888889
2011,PapuaNewGuinea,0.8,,,,,0.04,0.161538462
2011,Philippines,0.1,14,16,2,3,0.0247,0.1
2011,Singapore,0.3,37,,4,3,0.0217,
2011,SriLanka,0.1,,,,,0.0125,
2011,Thailand,1.4,40,94,2,3,0.0344,0.936708861
2011,VietNam,0.4,,,,,0.0273,0.387096774
2011,Bahamas,2.1,23,,,,0.178,
2011,Barbados,1.3,38,,4,3,0.1083,
2011,Belize,1.9,22,86,3,2,0.2436,0.45
2011,Cuba,0.3,39,95,4,3,0.0363,1.2
2011,DominicanRepublic,1.1,,,,,0.0465,0.846153846
2011,Guyana,1.5,50,70,4,3,0.1087,0.3
2011,Haiti,2.1,25,64,3,2,0.1305,0.633333333
2011,Jamaica,2,18,89,2,,0.1297,0.6
2011,Suriname,1.4,28,95,,2,0.1489,1.1
2011,Angola,1.8,11,12,1,2,0.2113,0.123809524
2011,Botswana,22.9,52,63,2,3,0.8756,0.61875
2011,Comoros,0.1,25,,4,3,0.05,
2011,Eritrea,0.9,32,33,1,3,0.0402,0.323529412
2011,Eswatini,27.6,42,89,,3,1.7859,0.866666667
2011,Ethiopia,1.3,42,42,2,3,0.0569,0.420833333
2011,Kenya,5.8,37,70,2,3,0.232,0.695
2011,Lesotho,24.3,32,91,1,3,1.4894,0.908333333
2011,Madagascar,0.2,2,16,2,1,0.0209,0.169230769
2011,Malawi,10.5,36,46,1,3,0.6135,0.46
2011,Mauritius,1.3,13,74,2,1,0.1075,0.7
2011,Mozambique,12.1,16,50,1,2,1.0676,0.497959184
2011,Namibia,13.2,59,72,3,3,0.6747,0.7
2011,Rwanda,3.3,45,91,3,3,0.1155,0.875
2011,SouthAfrica,19.3,,,,,1.1158,0.789285714
2011,SouthSudan,2.4,,,,,0.24,0.1175
2011,Uganda,6.8,23,49,,3,0.5043,0.486868687
2011,UnitedRepublicofTanzania,5,,,,,0.3154,0.922077922
2011,Zambia,12.9,41,75,1,3,0.7095,0.752
2011,Zimbabwe,15,39,51,1,3,0.7,0.509333333
2011,Armenia,0.2,10,,3,2,0.0303,
2011,Belarus,0.3,23,51,3,3,0.0429,0.36
2011,BosniaandHerzegovina,0.1,,,,,0.05,
2011,Georgia,0.2,18,,4,2,0.0265,
2011,Kazakhstan,0.1,14,95,3,3,0.0175,0.52
2011,Kyrgyzstan,0.1,10,49,4,2,0.022,0.4
2011,Montenegro,0.1,27,,,2,0.05,
2011,NorthMacedonia,0.1,,,,,0.05,
2011,RepublicofMoldova,0.6,,,,,0.06,0.24
2011,Tajikistan,0.2,7,16,3,2,0.0245,0.12
2011,Ukraine,0.9,11,95,2,3,0.0548,1.090909091
2011,Uzbekistan,0.2,9,95,2,,0.0263,0.916666667
2011,Argentina,0.4,48,94,4,,0.0233,0.941176471
2011,Bolivia,0.4,6,46,,,0.0218,0.34
2011,Brazil,0.5,39,,3,3,0.0314,
2011,Chile,0.4,37,67,4,,0.0371,0.3
2011,Colombia,0.4,24,30,3,,0.0271,0.304347826
2011,CostaRica,0.3,,,,,0.0261,
2011,Ecuador,0.4,25,84,2,2,0.0286,0.58
2011,ElSalvador,0.7,,,,,0.0323,0.24
2011,Guatemala,0.5,28,35,3,2,0.0214,0.36
2011,Honduras,0.5,33,50,3,2,0.0146,0.46
2011,Mexico,0.2,39,,4,2,0.0116,
2011,Nicaragua,0.2,22,77,,,0.0136,0.55
2011,Panama,0.9,30,92,4,2,0.06,0.9
2011,Paraguay,0.5,16,60,3,3,0.03,0.38
2011,Peru,0.3,32,60,3,,0.0157,0.6
2011,Uruguay,0.5,33,95,,3,0.041,0.7
2011,Algeria,0.1,34,55,3,3,0.0138,0.26
2011,Djibouti,1.5,11,17,2,,0.0824,0.1
2011,Egypt,0.1,9,5,,,0.0177,0.05
2011,Iran(IslamicRepublicof),0.1,,,,,0.0094,0.14
2011,Jordan,0.1,50,,4,,0.02,
2011,Kuwait,0.1,47,,4,2,0.02,
2011,Lebanon,0.1,30,,3,3,0.0118,
2011,LibyanArabJamahiriya,0.2,,,,,0.0239,0
2011,Morocco,0.1,23,38,3,3,0.0071,0.24
2011,Oman,0.1,28,,3,2,0.0087,
2011,Somalia,0.2,7,19,2,,0.0065,0.192307692
2011,Sudan,0.2,5,2,1,1,0.0236,0.022222222
2011,SyrianArabRepublic,0.1,,,,,0.0172,
2011,Tunisia,0.1,30,,,,0.0313,
2011,Yemen,0.1,11,12,,,0.0147,0.1
2011,Benin,1.1,40,39,1,,0.0751,0.379310345
2011,BurkinaFaso,1.1,,,,,0.045,0.5
2011,Burundi,1.5,29,46,2,,0.0577,0.465517241
2011,Cameroon,4.4,20,47,1,3,0.2906,0.48125
2011,CapeVerde,0.6,,,,,0.0571,
2011,CentralAfricanRepublic,4.8,,,,,0.3212,0.412698413
2011,Chad,1.5,32,19,1,,0.108,0.19
2011,Congo,3.1,20,31,,2,0.2129,0.304347826
2011,CotedIvoire,3.5,,,,,0.1823,0.304347826
2011,DemocraticRepublicoftheCongo,1.1,,,,,0.0679,0.1
2011,EquatorialGuinea,5.9,,,,,0.6521,0.088235294
2011,Gabon,4.1,29,30,1,,0.2642,0.3
2011,Gambia,1.9,16,93,1,1,0.19,0.942528736
2011,Ghana,1.9,20,46,2,2,0.133,0.476470588
2011,Guinea,1.6,22,35,1,,0.1149,0.345454545
2011,Guinea-Bissau,3.8,13,22,,,0.3313,0.222727273
2011,Liberia,1.7,14,35,1,2,0.1078,0.352173913
2011,Mali,1.4,24,38,1,1,0.112,0.388888889
2011,Mauritania,0.4,25,16,2,2,0.0286,0.06
2011,Niger,0.4,26,88,2,2,0.0178,0.888888889
2011,Nigeria,1.6,25,33,1,2,0.12,0.331521739
2011,Senegal,0.6,29,26,2,2,0.0253,0.265625
2011,SierraLeone,1.5,,,,,0.1297,
2011,Togo,2.8,26,61,1,3,0.1876,0.617647059
2011,Bulgaria,0.1,24,,4,3,0.0263,
2011,Croatia,0.1,52,,4,3,0.0091,
2011,CzechRepublic,0.1,,,,,0.025,
2011,Denmark,0.1,68,,,3,0.0036,
2011,Estonia,0.8,36,,,3,0.0656,
2011,Finland,0.1,65,,,3,0.0069,
2011,France,0.3,81,,,3,0.0124,
2011,Germany,0.1,69,,,3,0.0039,
2011,Hungary,0.1,33,,,3,0.0217,
2011,Iceland,0.1,67,,,3,0.02,
2011,Ireland,0.2,63,,,3,0.0196,
2011,Israel,0.1,,,,3,0.0078,
2011,Italy,0.3,70,,,3,0.012,
2011,Latvia,0.3,14,,3,,0.0357,
2011,Luxembourg,0.2,60,,4,3,0.0263,
2011,Netherlands,0.2,67,,,3,0.009,
2011,Norway,0.1,73,,,3,0.0111,
2011,Portugal,0.6,55,,4,3,0.0225,
2011,Romania,0.1,53,95,4,3,0.006,2.4
2011,Serbia,0.1,52,,4,3,0.0105,
2011,Slovakia,0.1,30,,,3,0.0196,
2011,Spain,0.4,65,,4,3,0.0129,
2011,UnitedStatesofAmerica,0.4,,,,,0.016,
2012,Afghanistan,0.1,3,1,3,2,0.0127,0
2012,Australia,0.1,67,,,3,0.0045,
2012,Bangladesh,0.1,9,14,3,2,0.0122,0.1
2012,Bhutan,0.3,9,,,2,0.0231,
2012,Cambodia,0.7,63,48,2,3,0.0162,0.478571429
2012,Indonesia,0.4,5,3,1,2,0.0421,0.031818182
2012,Japan,0.1,57,,,,0.0077,
2012,LaoPeopleDemocraticRepublic,0.3,,,,,0.0243,0.1
2012,Malaysia,0.4,20,59,2,3,0.0281,0.58
2012,Mongolia,0.1,12,,4,2,0.02,
2012,Myanmar,0.8,24,48,1,,0.0522,0.473684211
2012,Nepal,0.2,25,28,2,3,0.0103,0.26
2012,NewZealand,0.1,,,,,0.0071,
2012,Pakistan,0.1,4,2,1,1,0.0169,0.019047619
2012,PapuaNewGuinea,0.8,,,,,0.0442,0.275
2012,Philippines,0.1,15,14,2,3,0.0225,0.1
2012,Singapore,0.3,42,,4,3,0.0208,
2012,SriLanka,0.1,,,,,0.0128,
2012,Thailand,1.4,43,94,2,3,0.0325,0.944444444
2012,VietNam,0.4,,,,,0.0236,0.419354839
2012,Bahamas,2.1,28,,,,0.175,
2012,Barbados,1.4,40,,4,3,0.112,
2012,Belize,1.9,21,65,3,2,0.2317,0.35
2012,Cuba,0.3,41,95,4,3,0.0329,1.4
2012,DominicanRepublic,1.1,,,,,0.0471,1.083333333
2012,Guyana,1.5,52,81,4,3,0.1056,0.34
2012,Haiti,2.1,30,83,3,2,0.126,0.830508475
2012,Jamaica,2,20,90,2,,0.1263,0.6
2012,Suriname,1.4,29,95,,2,0.1458,1.1
2012,Angola,1.8,13,15,1,2,0.2016,0.152380952
2012,Botswana,22.6,59,80,2,3,0.7749,0.82
2012,Comoros,0.1,32,,4,3,0.05,
2012,Eritrea,0.9,37,54,1,3,0.0371,0.545454545
2012,Eswatini,27.8,46,87,,3,1.7988,0.85
2012,Ethiopia,1.3,45,65,2,3,0.054,0.654166667
2012,Kenya,5.6,41,57,2,3,0.224,0.569230769
2012,Lesotho,24.4,35,91,1,3,1.4955,0.891666667
2012,Madagascar,0.2,2,11,2,1,0.0235,0.119402985
2012,Malawi,10.3,44,62,1,3,0.5546,0.618518519
2012,Mauritius,1.3,14,95,2,1,0.0993,1
2012,Mozambique,12.2,18,78,1,2,1.0765,0.778787879
2012,Namibia,13.1,64,63,3,3,0.6623,0.625
2012,Rwanda,3.2,52,81,3,3,0.1033,0.818181818
2012,SouthAfrica,19.6,,,,,1.0097,0.817241379
2012,SouthSudan,2.4,,,,,0.256,0.134146341
2012,Uganda,6.6,30,79,,3,0.4345,0.78989899
2012,UnitedRepublicofTanzania,4.9,,,,,0.3204,0.961038961
2012,Zambia,12.7,45,80,1,3,0.6119,0.802
2012,Zimbabwe,14.7,46,79,1,3,0.6003,0.781333333
2012,Armenia,0.2,13,,3,2,0.0121,
2012,Belarus,0.3,27,60,3,3,0.0413,0.4
2012,BosniaandHerzegovina,0.1,,,,,0.02,
2012,Georgia,0.3,25,,4,2,0.0366,
2012,Kazakhstan,0.1,18,95,3,3,0.0157,0.6
2012,Kyrgyzstan,0.2,11,79,4,2,0.0373,0.45
2012,Montenegro,0.1,27,,,2,0.02,
2012,NorthMacedonia,0.1,,,,,0.02,
2012,RepublicofMoldova,0.6,,,,,0.0525,0.28
2012,Tajikistan,0.2,8,21,3,2,0.024,0.16
2012,Ukraine,0.9,18,95,2,3,0.0509,1.058823529
2012,Uzbekistan,0.2,11,45,2,,0.0265,0.441666667
2012,Argentina,0.4,50,94,4,,0.0233,0.888888889
2012,Bolivia,0.3,11,72,,,0.0171,0.5
2012,Brazil,0.5,42,,3,3,0.0313,
2012,Chile,0.4,42,66,4,,0.0365,0.32
2012,Colombia,0.4,29,31,3,,0.0262,0.304347826
2012,CostaRica,0.3,,,,,0.024,
2012,Ecuador,0.4,26,89,2,2,0.0259,0.62
2012,ElSalvador,0.7,,,,,0.0296,0.32
2012,Guatemala,0.5,31,25,3,2,0.0214,0.26
2012,Honduras,0.4,36,55,3,2,0.0115,0.48
2012,Mexico,0.2,44,,4,2,0.0116,
2012,Nicaragua,0.2,26,88,,,0.0128,0.65
2012,Panama,0.9,31,91,4,2,0.0614,0.9
2012,Paraguay,0.5,18,58,3,3,0.03,0.36
2012,Peru,0.3,40,69,3,,0.0152,0.7
2012,Uruguay,0.5,31,95,,3,0.0377,0.7
2012,Algeria,0.1,38,45,3,3,0.0133,0.24
2012,Djibouti,1.4,14,16,2,,0.0787,0.08
2012,Egypt,0.1,10,5,,,0.0174,0.05
2012,Iran(IslamicRepublicof),0.1,,,,,0.0091,0.24
2012,Jordan,0.1,56,,4,,0.02,
2012,Kuwait,0.1,47,,4,2,0.02,
2012,Lebanon,0.1,33,,3,3,0.0111,
2012,LibyanArabJamahiriya,0.2,,,,,0.0214,0
2012,Morocco,0.1,29,58,3,3,0.0061,0.4
2012,Oman,0.1,30,,3,2,0.008,
2012,Somalia,0.2,10,6,2,,0.0067,0.056338028
2012,Sudan,0.2,5,5,1,1,0.0221,0.047368421
2012,SyrianArabRepublic,0.1,,,,,0.0172,
2012,Tunisia,0.1,25,,,,0.0278,
2012,Yemen,0.1,11,16,,,0.0138,0.15
2012,Benin,1.1,43,45,1,,0.0728,0.464285714
2012,BurkinaFaso,1.1,,,,,0.039,0.533333333
2012,Burundi,1.4,32,49,2,,0.0498,0.482142857
2012,Cameroon,4.3,23,56,1,3,0.2628,0.55625
2012,CapeVerde,0.6,,,,,0.0571,
2012,CentralAfricanRepublic,4.6,,,,,0.2937,0.457627119
2012,Chad,1.4,35,25,1,,0.0916,0.26
2012,Congo,3,20,25,,2,0.2012,0.239130435
2012,CotedIvoire,3.3,,,,,0.165,0.57826087
2012,DemocraticRepublicoftheCongo,1,,,,,0.0609,0.106451613
2012,EquatorialGuinea,6.2,,,,,0.6643,0.138888889
2012,Gabon,4.1,33,38,1,,0.2496,0.392857143
2012,Gambia,1.9,19,95,1,1,0.1805,1.208791209
2012,Ghana,1.8,23,51,2,2,0.1219,0.529411765
2012,Guinea,1.6,25,36,1,,0.112,0.363636364
2012,Guinea-Bissau,3.8,16,33,,,0.304,0.336363636
2012,Liberia,1.6,13,37,1,2,0.0976,0.369565217
2012,Mali,1.4,23,41,1,1,0.1077,0.417582418
2012,Mauritania,0.3,27,8,2,2,0.0221,0.1
2012,Niger,0.4,31,76,2,2,0.0178,0.722222222
2012,Nigeria,1.6,32,41,1,2,0.12,0.408695652
2012,Senegal,0.5,27,32,2,2,0.0189,0.312903226
2012,SierraLeone,1.5,,,,,0.1205,
2012,Togo,2.7,26,66,1,3,0.1595,0.656716418
2012,Bulgaria,0.1,26,,4,3,0.0238,
2012,Croatia,0.1,55,,4,3,0.0083,
2012,CzechRepublic,0.1,,,,,0.0227,
2012,Denmark,0.1,72,,,3,0.0034,
2012,Estonia,0.8,40,,,3,0.0635,
2012,Finland,0.1,67,,,3,0.0067,
2012,France,0.3,79,,,3,0.0116,
2012,Germany,0.1,70,,,3,0.004,
2012,Hungary,0.1,33,,,3,0.02,
2012,Iceland,0.1,68,,,3,0.02,
2012,Ireland,0.2,66,,,3,0.0185,
2012,Israel,0.1,,,,3,0.0074,
2012,Italy,0.3,72,,,3,0.0117,
2012,Latvia,0.4,15,,3,,0.0465,
2012,Luxembourg,0.2,63,,4,3,0.0244,
2012,Netherlands,0.2,70,,,3,0.0082,
2012,Norway,0.1,73,,,3,0.0106,
2012,Portugal,0.6,60,,4,3,0.021,
2012,Romania,0.1,53,95,4,3,0.0055,1.3
2012,Serbia,0.1,52,,4,3,0.0095,
2012,Slovakia,0.1,33,,,3,0.0169,
2012,Spain,0.4,68,,4,3,0.0126,
2012,UnitedStatesofAmerica,0.4,,,,,0.016,
2013,Afghanistan,0.1,4,4,3,2,0.0127,0.05
2013,Australia,0.1,72,,,3,0.0043,
2013,Bangladesh,0.1,11,16,3,2,0.0124,0.1
2013,Bhutan,0.3,12,,,2,0.0231,
2013,Cambodia,0.7,65,56,2,3,0.0144,0.583333333
2013,Indonesia,0.4,6,4,1,2,0.0393,0.046363636
2013,Japan,0.1,57,,,,0.0071,
2013,LaoPeopleDemocraticRepublic,0.3,,,,,0.0226,0.12
2013,Malaysia,0.4,22,59,2,3,0.0273,0.54
2013,Mongolia,0.1,19,,4,2,0.02,
2013,Myanmar,0.8,30,51,1,,0.0487,0.50877193
2013,Nepal,0.2,29,33,2,3,0.009,0.28
2013,NewZealand,0.1,,,,,0.0069,
2013,Pakistan,0.1,3,5,1,1,0.016,0.056521739
2013,PapuaNewGuinea,0.8,,,,,0.0451,0.375
2013,Philippines,0.1,19,8,2,3,0.022,0.05
2013,Singapore,0.3,48,,4,3,0.0205,
2013,SriLanka,0.1,,,,,0.0132,
2013,Thailand,1.4,47,94,2,3,0.0311,0.939393939
2013,VietNam,0.4,,,,,0.0209,0.4
2013,Bahamas,2,33,,,,0.1667,
2013,Barbados,1.4,41,,4,3,0.1077,
2013,Belize,1.9,23,53,3,2,0.2262,0.5
2013,Cuba,0.3,44,95,4,3,0.03,0.55
2013,DominicanRepublic,1.1,,,,,0.0456,0.808333333
2013,Guyana,1.5,55,95,4,3,0.1014,0.46
2013,Haiti,2.1,38,90,3,2,0.123,0.896551724
2013,Jamaica,2,22,87,2,,0.1263,0.56
2013,Suriname,1.4,29,95,,2,0.1429,1.8
2013,Angola,1.9,18,26,1,2,0.2046,0.259090909
2013,Botswana,22.2,63,81,2,3,0.6977,0.82
2013,Comoros,0.1,35,,4,3,0.05,
2013,Eritrea,0.8,41,58,1,3,0.0315,0.571428571
2013,Eswatini,28,51,88,,3,1.7111,0.858333333
2013,Ethiopia,1.2,49,76,2,3,0.0443,0.75
2013,Kenya,5.5,44,59,2,3,0.2127,0.586842105
2013,Lesotho,24.5,38,86,1,3,1.3781,0.841666667
2013,Madagascar,0.2,2,9,2,1,0.0258,0.085714286
2013,Malawi,10.2,50,65,1,3,0.51,0.653846154
2013,Mauritius,1.3,16,95,2,1,0.0993,1
2013,Mozambique,12.3,25,83,1,2,1.025,0.838
2013,Namibia,13,68,79,3,3,0.6158,0.783333333
2013,Rwanda,3.1,58,86,3,3,0.0874,0.836363636
2013,SouthAfrica,19.9,,,,,0.9365,0.831034483
2013,SouthSudan,2.4,,,,,0.24,0.226190476
2013,Uganda,6.5,40,88,,3,0.38,0.883
2013,UnitedRepublicofTanzania,4.9,,,,,0.287,0.939240506
2013,Zambia,12.5,51,86,1,3,0.5909,0.858
2013,Zimbabwe,14.4,53,79,1,3,0.5206,0.797260274
2013,Armenia,0.2,17,,3,2,0.0121,
2013,Belarus,0.3,29,85,3,3,0.0383,0.48
2013,BosniaandHerzegovina,0.1,,,,,0.02,
2013,Georgia,0.3,29,,4,2,0.0329,
2013,Kazakhstan,0.1,22,95,3,3,0.0144,0.62
2013,Kyrgyzstan,0.2,17,80,4,2,0.0302,0.5
2013,Montenegro,0.1,30,,,2,0.02,
2013,NorthMacedonia,0.1,,,,,0.02,
2013,RepublicofMoldova,0.6,,,,,0.0459,0.3
2013,Tajikistan,0.2,11,25,3,2,0.0218,0.2
2013,Ukraine,0.9,24,95,2,3,0.0509,1.166666667
2013,Uzbekistan,0.2,18,46,2,,0.0261,0.446153846
2013,Argentina,0.4,52,94,4,,0.0213,0.944444444
2013,Bolivia,0.3,14,64,,,0.0186,0.42
2013,Brazil,0.5,46,,3,3,0.03,
2013,Chile,0.4,46,95,4,,0.0351,0.5
2013,Colombia,0.4,34,31,3,,0.0258,0.304347826
2013,CostaRica,0.4,,,,,0.0327,
2013,Ecuador,0.4,27,89,2,2,0.0253,0.64
2013,ElSalvador,0.7,,,,,0.0296,0.36
2013,Guatemala,0.5,34,41,3,2,0.0204,0.40625
2013,Honduras,0.4,39,50,3,2,0.0123,0.42
2013,Mexico,0.2,45,,4,2,0.011,
2013,Nicaragua,0.2,29,75,,,0.012,0.55
2013,Panama,0.9,36,95,4,2,0.0573,0.95
